N,epsilon,avg_no_dp_excess,avg_dp_excess
1000,0.01,0.0001685293920687,0.000871647111951
1000,0.05,0.0001670255564239,0.0001993029556783
1000,0.1,0.0001675501960676,0.0001747959701299
1000,0.5,0.0001677698411117,0.0001673012587687
1000,1.0,0.0001676939318861,0.0001684585708645
1200,0.01,0.0001505974919182,0.0005078345811925
1200,0.05,0.0001507362120192,0.0001663414514119
1200,0.1,0.000149543113421,0.0001536942434875
1200,0.5,0.000151020986715,0.0001504630159976
1200,1.0,0.0001496946458135,0.0001503941803444
1500,0.01,0.0001329245854018,0.0002548650003212
1500,0.05,0.0001326470343903,0.000117814816491
1500,0.1,0.0001333228705761,0.0001134182725262
1500,0.5,0.0001328114895241,0.0001120177345596
1500,1.0,0.000133065317734,0.0001120153132546
1800,0.01,0.0001194748079294,0.0001477957672793
1800,0.05,0.0001194975211523,8.219215735124549e-05
1800,0.1,0.0001193262622984,8.05257031272354e-05
1800,0.5,0.0001185303207965,7.980039844283998e-05
1800,1.0,0.0001189371901983,7.925757802705061e-05
2000,0.2,0.0001131804729586,6.693214366497585e-05
2000,0.4,0.0001132521473676,6.693180007913143e-05
2000,0.6,0.0001133817886739,6.67004448137125e-05
2000,0.8,0.0001134953352782,6.670829005009065e-05
2000,1.0,0.0001130691629857,6.642377535082777e-05
2100,0.01,0.000110104293352,9.785203082764336e-05
2100,0.05,0.0001110364934911,6.279373672065106e-05
2100,0.1,0.0001114703188036,6.165324979992569e-05
2100,0.5,0.0001099795862136,6.162335684611894e-05
2100,1.0,0.0001112457365119,6.165442062504202e-05
2400,0.2,0.0001028538976037,4.85458577647942e-05
2400,0.4,0.0001028180521518,4.851540615769788e-05
2400,0.6,0.0001027869424063,4.838670068328635e-05
2400,0.8,0.0001029038295773,4.855605308070194e-05
2400,1.0,0.0001036560606138,4.8718428137164064e-05
