N,epsilon,avg_no_dp_excess,avg_dp_excess
1000,0.2,0.0001685293920687,0.0001695891459924
1000,0.4,0.0001670255564239,0.000169615531671
1000,0.6,0.0001675501960676,0.000167723368911
1000,0.8,0.0001677698411117,0.000167101204749
1000,1.0,0.0001676939318861,0.0001684585708645
1500,0.2,0.0001329245854018,0.0001121489903909
1500,0.4,0.0001326470343903,0.0001120191280803
1500,0.6,0.0001333228705761,0.0001119963427754
1500,0.8,0.0001328114895241,0.0001119855148624
1500,1.0,0.000133065317734,0.0001120153132546
2000,0.2,0.0001131804729586,6.693214366497585e-05
2000,0.4,0.0001132521473676,6.693180007913143e-05
2000,0.6,0.0001133817886739,6.67004448137125e-05
2000,0.8,0.0001134953352782,6.670829005009065e-05
2000,1.0,0.0001130691629857,6.642377535082777e-05
2500,0.2,9.906841990260868e-05,4.377052873202023e-05
2500,0.4,9.877768509116364e-05,4.36238912694964e-05
2500,0.6,9.913596855735654e-05,4.352157506148083e-05
2500,0.8,9.861211649049411e-05,4.354062687333099e-05
2500,1.0,9.907393148223148e-05,4.33776146500094e-05
3000,0.2,9.084573878217162e-05,3.2466578379381746e-05
3000,0.4,9.11169206142858e-05,3.228690556145637e-05
3000,0.6,9.052947624933297e-05,3.2340452851073466e-05
3000,0.8,9.115081375159912e-05,3.2309673776315054e-05
3000,1.0,9.080303698720315e-05,3.22884750601722e-05
3500,0.2,8.318935455699514e-05,2.40983626911311e-05
3500,0.4,8.325582698956456e-05,2.4040483449415432e-05
3500,0.6,8.285275299811617e-05,2.403104315860312e-05
3500,0.8,8.296784841820192e-05,2.399433115410064e-05
3500,1.0,8.304985930376291e-05,2.404192090947175e-05
4000,0.2,7.744333543602416e-05,1.902281104268416e-05
4000,0.4,7.713613032194733e-05,1.903891481203339e-05
4000,0.6,7.73438442370773e-05,1.901793882208351e-05
4000,0.8,7.78795578232117e-05,1.9017448559560275e-05
4000,1.0,7.711065223968849e-05,1.8958009983402584e-05
